"","District","Primary.Type","crime_count","arrest_count","arrest_rate"
"345",11,"MOTOR VEHICLE THEFT",7010,542,0.0773181169757489
"346",11,"NARCOTICS",39525,39457,0.998279569892473
"347",11,"NON - CRIMINAL",2,0,0
"348",11,"NON-CRIMINAL",1,0,0
"349",11,"NON-CRIMINAL (SUBJECT SPECIFIED)",3,1,0.333333333333333
"350",11,"OBSCENITY",25,19,0.76
"351",11,"OFFENSE INVOLVING CHILDREN",1166,215,0.184391080617496
"352",11,"OTHER NARCOTIC VIOLATION",3,1,0.333333333333333
"353",11,"OTHER OFFENSE",9365,2429,0.259369994660972
"354",11,"PROSTITUTION",3541,3540,0.999717593900028
"355",11,"PUBLIC INDECENCY",2,2,1
"356",11,"PUBLIC PEACE VIOLATION",1559,1116,0.715843489416292
"357",11,"RITUALISM",1,0,0
"358",11,"ROBBERY",8252,505,0.0611972855065439
"359",11,"SEX OFFENSE",436,76,0.174311926605505
"360",11,"STALKING",102,9,0.0882352941176471
"361",11,"THEFT",19156,1087,0.0567446230945918
"362",11,"WEAPONS VIOLATION",5561,4207,0.756518611760475
"363",12,"ARSON",164,13,0.0792682926829268
"364",12,"ASSAULT",8392,1201,0.143112488083889
"365",12,"BATTERY",19060,3476,0.182371458551941
"366",12,"BURGLARY",6036,504,0.0834990059642147
"367",12,"CONCEALED CARRY LICENSE VIOLATION",25,24,0.96
"368",12,"CRIM SEXUAL ASSAULT",431,32,0.074245939675174
"369",12,"CRIMINAL DAMAGE",14178,572,0.0403441952320497
"370",12,"CRIMINAL SEXUAL ASSAULT",258,16,0.062015503875969
"371",12,"CRIMINAL TRESPASS",2856,1581,0.553571428571429
"372",12,"DECEPTIVE PRACTICE",8328,369,0.0443083573487032
"373",12,"GAMBLING",42,40,0.952380952380952
"374",12,"HOMICIDE",227,74,0.325991189427313
"375",12,"HUMAN TRAFFICKING",7,0,0
"376",12,"INTERFERENCE WITH PUBLIC OFFICER",235,219,0.931914893617021
"377",12,"INTIMIDATION",85,8,0.0941176470588235
"378",12,"KIDNAPPING",35,4,0.114285714285714
"379",12,"LIQUOR LAW VIOLATION",213,208,0.976525821596244
"380",12,"MOTOR VEHICLE THEFT",7304,401,0.0549014238773275
"381",12,"NARCOTICS",3812,3758,0.985834207764953
"382",12,"NON - CRIMINAL",2,1,0.5
"383",12,"NON-CRIMINAL",9,1,0.111111111111111
"384",12,"OBSCENITY",24,22,0.916666666666667
"385",12,"OFFENSE INVOLVING CHILDREN",796,88,0.110552763819095
"386",12,"OTHER NARCOTIC VIOLATION",2,2,1
"387",12,"OTHER OFFENSE",6224,869,0.139620822622108
"388",12,"PROSTITUTION",197,194,0.984771573604061
"389",12,"PUBLIC INDECENCY",2,2,1
"390",12,"PUBLIC PEACE VIOLATION",702,428,0.60968660968661
"391",12,"ROBBERY",5155,496,0.0962172647914646
"392",12,"SEX OFFENSE",539,73,0.13543599257885
"393",12,"STALKING",131,14,0.106870229007634
"394",12,"THEFT",39489,2742,0.0694370584213325
"395",12,"WEAPONS VIOLATION",1269,918,0.723404255319149
"396",14,"ARSON",127,12,0.094488188976378
"397",14,"ASSAULT",5101,994,0.19486375220545
"398",14,"BATTERY",12350,2815,0.227935222672065
"399",14,"BURGLARY",5494,265,0.0482344375682563
"400",14,"CONCEALED CARRY LICENSE VIOLATION",11,10,0.909090909090909
"401",14,"CRIM SEXUAL ASSAULT",274,32,0.116788321167883
"402",14,"CRIMINAL DAMAGE",10139,628,0.0619390472433179
"403",14,"CRIMINAL SEXUAL ASSAULT",160,14,0.0875
"404",14,"CRIMINAL TRESPASS",1930,960,0.49740932642487
"405",14,"DECEPTIVE PRACTICE",5748,267,0.0464509394572025
"406",14,"GAMBLING",4,3,0.75
"407",14,"HOMICIDE",106,56,0.528301886792453
"408",14,"INTERFERENCE WITH PUBLIC OFFICER",157,150,0.955414012738854
"409",14,"INTIMIDATION",28,1,0.0357142857142857
"410",14,"KIDNAPPING",29,4,0.137931034482759
"411",14,"LIQUOR LAW VIOLATION",159,159,1
"412",14,"MOTOR VEHICLE THEFT",4503,233,0.0517432822562736
"413",14,"NARCOTICS",1815,1807,0.995592286501377
"414",14,"NON - CRIMINAL",1,0,0
"415",14,"NON-CRIMINAL",3,1,0.333333333333333
"416",14,"OBSCENITY",11,7,0.636363636363636
"417",14,"OFFENSE INVOLVING CHILDREN",508,75,0.147637795275591
"418",14,"OTHER NARCOTIC VIOLATION",1,1,1
"419",14,"OTHER OFFENSE",4307,879,0.204086371023915
"420",14,"PROSTITUTION",34,34,1
"421",14,"PUBLIC INDECENCY",5,5,1
"422",14,"PUBLIC PEACE VIOLATION",382,226,0.591623036649215
"423",14,"ROBBERY",3580,309,0.0863128491620112
"424",14,"SEX OFFENSE",379,60,0.158311345646438
"425",14,"STALKING",71,11,0.154929577464789
"426",14,"THEFT",30247,1982,0.0655271597183192
"427",14,"WEAPONS VIOLATION",854,475,0.556206088992974
"428",15,"ARSON",248,24,0.0967741935483871
"429",15,"ASSAULT",8482,1566,0.184626267389767
"430",15,"BATTERY",24325,4601,0.189146968139774
"431",15,"BURGLARY",3016,152,0.0503978779840849
"432",15,"CONCEALED CARRY LICENSE VIOLATION",13,13,1
"433",15,"CRIM SEXUAL ASSAULT",372,41,0.110215053763441
"434",15,"CRIMINAL DAMAGE",10577,654,0.0618322775834358
"435",15,"CRIMINAL SEXUAL ASSAULT",226,15,0.0663716814159292
"436",15,"CRIMINAL TRESPASS",2033,1312,0.645351696999508
"437",15,"DECEPTIVE PRACTICE",3901,168,0.0430658805434504
"438",15,"GAMBLING",284,284,1
"439",15,"HOMICIDE",441,171,0.387755102040816
"440",15,"HUMAN TRAFFICKING",6,2,0.333333333333333
"441",15,"INTERFERENCE WITH PUBLIC OFFICER",626,578,0.92332268370607
"442",15,"INTIMIDATION",51,6,0.117647058823529
"443",15,"KIDNAPPING",61,4,0.0655737704918033
"444",15,"LIQUOR LAW VIOLATION",46,46,1
"445",15,"MOTOR VEHICLE THEFT",4837,306,0.0632623526979533
"446",15,"NARCOTICS",14707,14672,0.997620180866254
"447",15,"NON - CRIMINAL",1,1,1
"448",15,"NON-CRIMINAL",3,0,0
"449",15,"OBSCENITY",14,13,0.928571428571429
"450",15,"OFFENSE INVOLVING CHILDREN",852,128,0.150234741784038
"451",15,"OTHER NARCOTIC VIOLATION",1,0,0
"452",15,"OTHER OFFENSE",6872,1398,0.203434225844005
"453",15,"PROSTITUTION",206,205,0.995145631067961
"454",15,"PUBLIC INDECENCY",4,4,1
"455",15,"PUBLIC PEACE VIOLATION",854,576,0.674473067915691
"456",15,"ROBBERY",4837,344,0.0711184618565226
"457",15,"SEX OFFENSE",329,47,0.142857142857143
"458",15,"STALKING",61,13,0.213114754098361
"459",15,"THEFT",13171,760,0.0577025282818313
"460",15,"WEAPONS VIOLATION",2865,1985,0.692844677137871
"461",16,"ARSON",103,17,0.16504854368932
"462",16,"ASSAULT",3983,736,0.184785337685162
"463",16,"BATTERY",9174,1982,0.216045345541748
"464",16,"BURGLARY",3617,189,0.0522532485485209
"465",16,"CONCEALED CARRY LICENSE VIOLATION",7,7,1
"466",16,"CRIM SEXUAL ASSAULT",154,23,0.149350649350649
"467",16,"CRIMINAL DAMAGE",6885,363,0.052723311546841
